OID,NDVI_center,Building_Coverage,Weighted_Height,SPEED_M_s_,ALT_M_,NR_TAC,NR_PCI,Base_Central_frequency_point,Base_Electronic_downtilt,Base_Mechanical_downtilt,Base_Power,Match_Dist,DEM_center,True_3D_Dist,Building_Coverage,Match_Angle_sin,Match_Angle_cos,Base_Direction_angle_sin,Base_Direction_angle_cos,NR_BAND_enc,Base_Bandwidth_enc,log_Match_Dist,log_True_3D_Dist,Power_to_Dist_ratio,Match_Dist_bin,SS_RSRP
1,0.454531997,0,0,35.7,240,10116864,386,636664,0,8,24,263.0303183,240,270.36,0.00618279,-0.810765421,-0.585371191,0.342020143,0.939692621,1,0,5.576063939,5.603446353,0.091244234,2,-72.66666667
2,0.496044993,0,0,40.86,225,10116864,386,636664,0,8,24,287.1222303,252,297.27,0.00618279,-0.834253997,-0.55138033,0.342020143,0.939692621,1,0,5.663384801,5.697999117,0.083588094,3,-75
3,0.633849978,0,0,42.57,224.5,10116864,386,636664,0,8,24,300.066717,261,309.915,0.00618279,-0.864416753,-0.502775972,0.342020143,0.939692621,1,0,5.707331891,5.739519563,0.079982212,3,-76
4,0.637133002,0,0,44.4075,237.5,10116864,386,636664,0,8,24,336.6644704,264,342.7875,1.46E-17,-0.892424479,-0.451196798,0.342020143,0.939692621,1,0,5.822052711,5.840023734,0.071287594,3,-72.5
5,0.630409002,0,0,40.24857143,243.7142857,10116864,384,636664,6,13,24,363.9048418,262,368.5471429,1.29E-17,-0.91060005,-0.4132887,0.766044443,-0.64278761,1,0,5.899636612,5.912278318,0.065951307,4,-76.85714286
6,0.674319029,0,0,37.2975,245.5,10116864,384,636664,6,13,24,837.8953711,261,840.8825,1.12E-17,0.536724518,-0.843757544,0.766044443,-0.64278761,1,0,6.732085992,6.735640456,0.028643194,7,-77.5
7,0.678882003,0,0,30.49833333,237.3333333,10116864,384,636664,6,13,24,419.2778719,260,424.25,2.19E-19,-0.933703267,-0.358047775,0.766044443,-0.64278761,1,0,6.040916092,6.052677231,0.057241275,5,-76.66666667
8,0.702144027,0,0,47.81,248.3333333,10116864,384,636664,6,13,24,440.9218113,258,444.25,2.02E-17,-0.946724511,-0.322044564,0.766044443,-0.64278761,1,0,6.091132969,6.098635922,0.054431419,5,-76.66666667
9,0.704180002,0,0,35.43666667,256.3333333,10121472,319,636664,0,5,24,1531.571911,260,1531.583333,-7.55E-18,0.094355363,0.995538581,0.64278761,-0.766044443,1,0,7.334702591,7.334710043,0.015670175,9,-80
10,0.702166975,0,0,51.06,254.1666667,10121472,244,636664,6,12,24,920.0236114,265,922.55,-2.14E-17,0.999438893,-0.033494777,-0.64278761,-0.766044443,1,0,6.825485673,6.82822494,0.026086287,8,-83.66666667
11,0.693237007,0,0,50.525,258,10116864,384,636664,6,13,24,535.405163,267,537.21,-2.14E-17,-0.959821737,-0.280610466,0.766044443,-0.64278761,1,0,6.284889777,6.288248819,0.044825866,6,-76
12,0.584523022,0,0,41.005,238,10121472,319,636664,0,5,24,1047.566098,266,1049.275,-2.59E-17,0.779764358,-0.626073116,0.64278761,-0.766044443,1,0,6.955178889,6.956807314,0.022910249,8,-86.5
13,0.664807022,0,0,35.77,243.5,10121472,76,636664,6,2,24,1142.31988,266,1144.81,-5.88E-18,0.656040194,0.754725953,-0.64278761,-0.766044443,1,0,7.041691485,7.043867089,0.021009877,8,-78
14,0.679759979,0,0,33.33142857,359,10121472,61,636664,6,12,24,784.4709623,270,785.6328571,3.69E-17,0.847592109,0.530648298,-0.5,-0.866025404,1,0,6.66628349,6.66776163,0.030593867,7,-82.57142857
15,0.664996982,0,0,33.56111111,352.8888889,10121472,145,636664,6,12,24,1119.228184,274,1120.764444,4.80E-17,0.483232774,0.875491911,0.573576436,-0.819152044,1,0,7.021287679,7.022658121,0.021443348,8,-81.22222222
16,0.652665019,0,0,38.84833333,359.5,10121472,328,636664,6,3,24,1110.086454,276,1111.69,7.63E-17,0.920554673,0.39061374,-0.984807753,0.173648178,1,0,7.013093603,7.014535786,0.021619938,8,-80.5
17,0.685712993,0,0,35.35571429,372,10121472,145,636664,6,12,24,1025.519806,274,1026.832857,1.27E-16,0.330432689,0.94382956,0.573576436,-0.819152044,1,0,6.933929531,6.935207842,0.023402766,8,-80.28571429
18,0.686833978,0,0,13.51837838,349.1891892,10121472,145,636664,6,12,24,890.6674992,268,891.0878378,1.27E-16,0.199503871,0.979897038,0.573576436,-0.819152044,1,0,6.793093304,6.793564601,0.026946083,7,-80.35135135
19,0.665970981,0,0,38.7075,378,10121472,145,636664,6,12,24,788.3259449,262,789.5825,1.13E-16,0.218217763,0.975900101,0.573576436,-0.819152044,1,0,6.671179347,6.672770016,0.03044426,7,-82.5
20,0.67196703,0,0,37.18666667,375.3333333,10121472,61,636664,6,12,24,710.3822196,253,711.2266667,1.33E-16,0.270954888,0.962592047,-0.5,-0.866025404,1,0,6.567209866,6.568396213,0.033784629,7,-82
21,0.669812977,0,0,40.0125,370.75,10121472,61,636664,6,12,24,702.1197936,251,702.8275,1.05E-16,0.229022649,0.973421094,-0.5,-0.866025404,1,0,6.555527281,6.556533298,0.034182201,7,-82.5
22,0.625326991,0,0,40.74888889,360.7777778,10121472,61,636664,6,12,24,809.6551961,249,810.0955556,5.52E-17,0.536486083,0.843909167,-0.5,-0.866025404,1,0,6.697842805,6.698385872,0.029642248,7,-82.22222222
23,0.600840986,0,0,42.25714286,357.5714286,10121472,76,636664,6,2,24,843.4076788,247,843.6,5.63E-17,0.840310571,0.54210529,-0.64278761,-0.766044443,1,0,6.73863541,6.738863142,0.028455989,7,-82.85714286
